date,instrument,weight
2022-04-01,ho1s,0.0
2022-04-01,ng1s,0.0
2022-04-01,rb1s,0.097633494562073
2022-04-04,cl1s,0.0
2022-04-04,ho1s,0.0
2022-04-04,ng1s,0.0
2022-04-04,rb1s,0.09911257026465485
2022-04-05,cl1s,0.0
2022-04-05,ho1s,0.0
2022-04-05,ng1s,0.0
2022-04-05,rb1s,0.10051857833222744
2022-04-06,cl1s,0.0
2022-04-06,ho1s,0.0
2022-04-06,ng1s,0.0
2022-04-06,rb1s,0.09993954603138214
2022-04-07,cl1s,0.0
2022-04-07,ho1s,0.0
2022-04-07,ng1s,0.0
2022-04-07,rb1s,0.10159985327483875
2022-04-08,cl1s,0.0
2022-04-08,ho1s,0.0
2022-04-08,ng1s,0.0
2022-04-08,rb1s,0.10210836913332581
2022-04-11,cl1s,0.0
2022-04-11,ho1s,0.0
2022-04-11,ng1s,0.0
2022-04-11,rb1s,0.10109547313103724
2022-04-12,cl1s,0.0
2022-04-12,ho1s,0.0
2022-04-12,ng1s,0.0
2022-04-12,rb1s,0.09943865334032491
2022-04-13,cl1s,-0.08385408373892139
2022-04-13,ho1s,0.0
2022-04-13,ng1s,0.0
2022-04-13,rb1s,0.09885629131020007
2022-04-14,cl1s,-0.08489465848000445
2022-04-14,ho1s,0.0
2022-04-14,ng1s,0.0
2022-04-14,rb1s,-0.09977846565689552
2022-04-18,cl1s,0.0
2022-04-18,ho1s,0.0
2022-04-18,ng1s,0.0
2022-04-18,rb1s,-0.10140984253521411
2022-04-19,cl1s,0.0
2022-04-19,ho1s,0.0
2022-04-19,ng1s,0.0
2022-04-19,rb1s,-0.10046681246026598
2022-04-20,cl1s,0.0
2022-04-20,ho1s,0.0
2022-04-20,ng1s,0.0
2022-04-20,rb1s,-0.1020548272095407
2022-04-21,cl1s,0.0
2022-04-21,ho1s,0.0
2022-04-21,ng1s,0.0
2022-04-21,rb1s,-0.10351837187253246
2022-04-22,cl1s,0.0
2022-04-22,ho1s,0.0
2022-04-22,ng1s,0.0
2022-04-22,rb1s,-0.10498129963756754
2022-04-25,cl1s,0.0
2022-04-25,ho1s,0.0
2022-04-25,ng1s,0.0
2022-04-25,rb1s,0.10587011247644697
2022-04-26,cl1s,0.0
2022-04-26,ho1s,0.0
2022-04-26,ng1s,0.0
2022-04-26,rb1s,-0.10658106821897095
2022-04-27,cl1s,0.09103954172349056
2022-04-27,ho1s,0.0
2022-04-27,ng1s,0.0
2022-04-27,rb1s,-0.1071026299913562
2022-04-28,cl1s,0.09160669383384164
2022-04-28,ho1s,0.0
2022-04-28,ng1s,0.0
2022-04-28,rb1s,-0.10856833875697729
2022-04-29,cl1s,0.09304250989846513
2022-04-29,ho1s,0.0
2022-04-29,ng1s,0.0
2022-04-29,rb1s,-0.11001732700977103
2022-05-02,cl1s,0.09460388832222928
2022-05-02,ho1s,0.0
2022-05-02,ng1s,0.0
2022-05-02,rb1s,-0.1114277022537201
2022-05-03,cl1s,0.09517667651177453
2022-05-03,ho1s,0.0
2022-05-03,ng1s,0.0
2022-05-03,rb1s,-0.11319419817319099
2022-05-04,cl1s,0.09380949642394432
2022-05-04,ho1s,0.0
2022-05-04,ng1s,-0.07717115776859296
2022-05-04,rb1s,-0.11216862537150397
2022-05-05,cl1s,0.09538611633969211
2022-05-05,ho1s,0.0
2022-05-05,ng1s,-0.07787442909359815
2022-05-05,rb1s,-0.11402016540342805
2022-05-06,cl1s,0.09686494409935201
2022-05-06,ho1s,0.0
2022-05-06,ng1s,-0.07340516827571131
2022-05-06,rb1s,-0.11496515709169706
2022-05-09,cl1s,0.09347389783388564
2022-05-09,ho1s,0.0
2022-05-09,ng1s,0.0
2022-05-09,rb1s,-0.11397740563900406
2022-05-10,cl1s,0.09371174357303531
2022-05-10,ho1s,0.0
2022-05-10,ng1s,0.0
2022-05-10,rb1s,0.11370949185378214
2022-05-11,cl1s,0.09151726578491322
2022-05-11,ho1s,0.0
2022-05-11,ng1s,0.0
2022-05-11,rb1s,0.11294697292451873
2022-05-12,cl1s,0.09305413519565858
2022-05-12,ho1s,0.0
2022-05-12,ng1s,0.0
2022-05-12,rb1s,-0.11373980191040763
2022-05-13,cl1s,0.09300136936088246
2022-05-13,ho1s,0.0
2022-05-13,ng1s,0.0
2022-05-13,rb1s,-0.11280669794338417
2022-05-16,cl1s,0.0935957504739973
2022-05-16,ho1s,0.0
2022-05-16,ng1s,0.0
2022-05-16,rb1s,-0.11453499259212156
2022-05-17,cl1s,0.0944704160248611
2022-05-17,ho1s,0.0
2022-05-17,ng1s,-0.07051098212086429
2022-05-17,rb1s,-0.11485132711025912
2022-05-18,cl1s,0.09514289729089524
2022-05-18,ho1s,0.0
2022-05-18,ng1s,-0.07169222076045585
2022-05-18,rb1s,-0.10915638185536823
2022-05-19,cl1s,0.09609186787090339
2022-05-19,ho1s,0.0
2022-05-19,ng1s,-0.07273671022480444
2022-05-19,rb1s,-0.10984346584692714
2022-05-20,cl1s,0.09770651938011028
2022-05-20,ho1s,0.0
2022-05-20,ng1s,0.0
2022-05-20,rb1s,-0.11165808435665144
2022-05-23,cl1s,0.09932728376783385
2022-05-23,ho1s,0.0
2022-05-23,ng1s,0.0
2022-05-23,rb1s,-0.11341126625456331
2022-05-24,cl1s,0.10089190473739941
2022-05-24,ho1s,0.0
2022-05-24,ng1s,0.0
2022-05-24,rb1s,-0.11530441242182475
2022-05-25,cl1s,0.10258488239089399
2022-05-25,ho1s,0.0
2022-05-25,ng1s,-0.07418666828921137
2022-05-25,rb1s,0.11719602597964163
2022-05-26,cl1s,0.10293500459169187
2022-05-26,ho1s,0.0
2022-05-26,ng1s,0.0
2022-05-26,rb1s,0.11879265755132223
2022-05-27,cl1s,0.10464243757280013
2022-05-27,ho1s,0.0
2022-05-27,ng1s,0.0
2022-05-27,rb1s,-0.11922952722132218
2022-05-30,cl1s,0.0
2022-05-30,ho1s,0.0
2022-05-30,ng1s,0.0
2022-05-30,rb1s,0.0
2022-05-31,cl1s,0.1062885368470757
2022-05-31,ho1s,-0.0990665187721052
2022-05-31,ng1s,0.0
2022-05-31,rb1s,-0.12116531836449602
2022-06-01,cl1s,0.10807452542151068
2022-06-01,ho1s,0.0
2022-06-01,ng1s,-0.07308321230129534
2022-06-01,rb1s,-0.12048906845919992
2022-06-02,cl1s,0.10973560079012712
2022-06-02,ho1s,-0.09940146812852012
2022-06-02,ng1s,-0.07371954690816575
2022-06-02,rb1s,-0.12134219075475805
2022-06-03,cl1s,0.11130395610950997
2022-06-03,ho1s,0.0
2022-06-03,ng1s,-0.07495301529765137
2022-06-03,rb1s,-0.12327368395234613
2022-06-06,cl1s,0.11303630744453184
2022-06-06,ho1s,0.0
2022-06-06,ng1s,-0.07214284456283321
2022-06-06,rb1s,-0.12406000895790009
2022-06-07,cl1s,0.11492211363133198
2022-06-07,ho1s,0.0
2022-06-07,ng1s,-0.07325954593613516
