date,instrument,prediction,primary_signal,size,annualized_ewma_vol,raw_weight,capped_weight,weight
2022-01-24,rb1s,0.4124788292933753,1,0.0,0.3347507157395378,0.0,0.0,0.0
2022-01-25,cl1s,0.8735818993969731,1,0.8735818993969731,0.3594746063196115,0.24301630324904372,0.24301630324904372,0.24301630324904372
2022-01-25,ng1s,0.0004547964757169,-1,0.0,0.8327532132008831,-0.0,-0.0,-0.0
2022-01-25,rb1s,0.5082586442373432,1,0.5082586442373432,0.33545668742575924,0.15151244953190185,0.15151244953190185,0.15151244953190185
2022-01-26,cl1s,0.8958188498385284,1,0.8958188498385284,0.35662578012910856,0.2511929590491795,0.25,0.25
2022-01-26,ng1s,0.0049860418430603,-1,0.0,0.8253697346748189,-0.0,-0.0,-0.0
2022-01-26,rb1s,0.397056836527309,1,0.0,0.3354381159699479,0.0,0.0,0.0
2022-01-27,cl1s,0.9374783613357004,1,0.9374783613357004,0.3526873500017025,0.26581003297429723,0.25,0.25
2022-01-27,ng1s,0.0125892892110001,-1,0.0,0.829250628985941,-0.0,-0.0,-0.0
2022-01-27,rb1s,0.437094248130237,1,0.0,0.33018967225787926,0.0,0.0,0.0
2022-01-28,cl1s,0.9146207446210372,1,0.9146207446210372,0.3468908879383707,0.2636623723548283,0.25,0.25
2022-01-28,ng1s,0.0620085897675971,-1,0.0,0.8464151639963425,-0.0,-0.0,-0.0
2022-01-28,rb1s,0.5100197277742378,1,0.5100197277742378,0.32483182745924616,0.1570103926587137,0.1570103926587137,0.1570103926587137
2022-01-31,cl1s,0.9051292860591784,1,0.9051292860591784,0.3426633472122072,0.26414534656916283,0.25,0.25
2022-01-31,ng1s,0.1935642644100196,-1,0.0,0.8419870078493128,-0.0,-0.0,-0.0
2022-01-31,rb1s,0.5212533356269045,1,0.5212533356269045,0.31954407166285653,0.1631240826701572,0.1631240826701572,0.1631240826701572
2022-02-01,cl1s,0.9177836004192808,1,0.9177836004192808,0.33717887425633103,0.27219487058419944,0.25,0.25
2022-02-01,ng1s,0.066107170852679,-1,0.0,0.8333831592815673,-0.0,-0.0,-0.0
2022-02-01,rb1s,0.4438727147357595,1,0.0,0.3144785639525201,0.0,0.0,0.0
2022-02-02,cl1s,0.9163995512036676,1,0.9163995512036676,0.3317660143175789,0.27621863351152526,0.25,0.25
2022-02-02,ng1s,0.0086156003357325,-1,0.0,0.9260659241761504,-0.0,-0.0,-0.0
2022-02-02,rb1s,0.3937205799553947,1,0.0,0.3101548494092554,0.0,0.0,0.0
2022-02-03,ng1s,0.000200377752337,-1,0.0,0.9759607278528365,-0.0,-0.0,-0.0
2022-02-03,rb1s,0.3764148806022371,1,0.0,0.3061638361654834,0.0,0.0,0.0
2022-02-04,ng1s,1.5567377619450242e-06,-1,0.0,0.9816571477979342,-0.0,-0.0,-0.0
2022-02-04,rb1s,0.3658892498451102,1,0.0,0.30214437545258677,0.0,0.0,0.0
2022-02-07,rb1s,0.3733607875600093,1,0.0,0.29723563306062895,0.0,0.0,0.0
2022-02-08,ng1s,4.300945183401287e-08,-1,0.0,0.9753319586727294,-0.0,-0.0,-0.0
2022-02-08,rb1s,0.228033417466945,-1,0.0,0.30256282396581674,-0.0,-0.0,-0.0
2022-02-09,ng1s,2.6704069409920395e-09,-1,0.0,0.9737909241948699,-0.0,-0.0,-0.0
2022-02-09,rb1s,0.5092273376919426,1,0.5092273376919426,0.29817704275805745,0.17078019588018134,0.17078019588018134,0.17078019588018134
2022-02-10,cl1s,0.7943341276476321,1,0.7943341276476321,0.3192786614094952,0.24879023362881372,0.24879023362881372,0.24879023362881372
2022-02-10,ng1s,4.0896014523410506e-07,-1,0.0,0.9584298444462153,-0.0,-0.0,-0.0
2022-02-10,rb1s,0.4627434031094969,1,0.0,0.29324895090585246,0.0,0.0,0.0
2022-02-11,ng1s,5.017589218408097e-06,-1,0.0,0.9426867151213664,-0.0,-0.0,-0.0
2022-02-11,rb1s,0.5582441863673514,1,0.5582441863673514,0.29587007180656916,0.18867882883819168,0.18867882883819168,0.18867882883819168
2022-02-14,ng1s,6.490639527560678e-05,-1,0.0,0.9450740155948256,-0.0,-0.0,-0.0
2022-02-14,rb1s,0.48762430978637,-1,0.0,0.29233034931879326,-0.0,-0.0,-0.0
2022-02-15,cl1s,0.8175609439428583,1,0.8175609439428583,0.34205555852816205,0.23901407930944266,0.23901407930944266,0.23901407930944266
2022-02-15,ng1s,8.91222899518999e-05,-1,0.0,0.9320171263677636,-0.0,-0.0,-0.0
2022-02-15,rb1s,0.6791553898088155,1,0.6791553898088155,0.31488854261558524,0.21568120077265748,0.21568120077265748,0.21568120077265748
2022-02-16,cl1s,0.7612439557213054,1,0.7612439557213054,0.3386531072445316,0.22478575847574706,0.22478575847574706,0.22478575847574706
2022-02-16,ng1s,0.0008795115153127,-1,0.0,0.953736928003755,-0.0,-0.0,-0.0
2022-02-16,rb1s,0.7481507418741183,1,0.7481507418741183,0.3096940195643065,0.24157739401188805,0.24157739401188805,0.24157739401188805
2022-02-17,cl1s,0.8199947592577379,1,0.8199947592577379,0.3401383432804656,0.24107683695677917,0.24107683695677917,0.24107683695677917
2022-02-17,ng1s,0.0013060518382407,-1,0.0,0.9509924650743962,-0.0,-0.0,-0.0
2022-02-17,rb1s,0.5495466314400572,1,0.5495466314400572,0.3073718200440223,0.17878887900697932,0.17878887900697932,0.17878887900697932
2022-02-18,cl1s,0.8293297377745437,1,0.8293297377745437,0.3345667783210609,0.24788167609955958,0.24788167609955958,0.24788167609955958
2022-02-18,ng1s,0.0001647533131989,-1,0.0,0.9364126008036184,-0.0,-0.0,-0.0
2022-02-18,rb1s,0.4835712471176942,1,0.0,0.30236177983253987,0.0,0.0,0.0
2022-02-22,cl1s,0.7637759761658108,1,0.7637759761658108,0.3317945690423964,0.23019544242998632,0.23019544242998632,0.23019544242998632
2022-02-22,ng1s,0.0003078462478576,-1,0.0,0.9219905532250798,-0.0,-0.0,-0.0
2022-02-22,rb1s,0.5839615193517667,1,0.5839615193517667,0.2992007574112153,0.1951738105225389,0.1951738105225389,0.1951738105225389
2022-02-23,cl1s,0.7934363457341419,1,0.7934363457341419,0.3263754312932343,0.2431054147030061,0.2431054147030061,0.2431054147030061
2022-02-23,ng1s,0.0005101901064465,-1,0.0,0.9096302052402433,-0.0,-0.0,-0.0
2022-02-23,rb1s,0.6098366215094616,1,0.6098366215094616,0.29444965512817667,0.20711065911895674,0.20711065911895674,0.20711065911895674
2022-02-24,cl1s,0.7698119095607248,1,0.7698119095607248,0.3211288313039235,0.23972058392731407,0.23972058392731407,0.23972058392731407
2022-02-24,ng1s,4.816807994679336e-05,-1,0.0,0.8947264923501498,-0.0,-0.0,-0.0
2022-02-24,rb1s,0.6764380458502414,1,0.6764380458502414,0.2910136378090059,0.23244204324685017,0.23244204324685017,0.23244204324685017
2022-02-25,cl1s,0.7665939623918613,1,0.7665939623918613,0.31975532135525403,0.2397439264318486,0.2397439264318486,0.2397439264318486
2022-02-25,ng1s,0.0005189403785696,-1,0.0,0.8880725654749934,-0.0,-0.0,-0.0
2022-02-25,rb1s,0.7780902193978045,1,0.7780902193978045,0.291198776689435,0.2672024341048801,0.25,0.25
2022-02-28,cl1s,0.3869911885334077,1,0.0,0.33575772690561356,0.0,0.0,0.0
2022-02-28,ng1s,0.0008618529504771,-1,0.0,0.8750806266310718,-0.0,-0.0,-0.0
2022-02-28,rb1s,0.6443288878383494,1,0.6443288878383494,0.2902852265646771,0.22196406460760398,0.22196406460760398,0.22196406460760398
2022-03-01,ng1s,0.0008049015730405,-1,0.0,0.8665870307988499,-0.0,-0.0,-0.0
2022-03-01,rb1s,0.683673498517459,1,0.683673498517459,0.3178737893959811,0.21507702784069266,0.21507702784069266,0.21507702784069266
2022-03-02,ng1s,0.0005820983718654,-1,0.0,0.8587437178858418,-0.0,-0.0,-0.0
2022-03-02,rb1s,0.233449468128772,-1,0.0,0.36378950326903814,-0.0,-0.0,-0.0
2022-03-03,cl1s,0.646411679790436,1,0.646411679790436,0.4309181428941351,0.15000799814298882,0.15000799814298882,0.15000799814298882
2022-03-03,ng1s,0.3209806398064385,-1,0.0,0.8454912780778637,-0.0,-0.0,-0.0
2022-03-03,rb1s,0.3582792528632084,-1,0.0,0.36039087966361183,-0.0,-0.0,-0.0
2022-03-04,ng1s,0.9558456689677712,-1,0.9558456689677712,0.8473099613829868,-0.11280944548410969,-0.11280944548410969,-0.11280944548410969
2022-03-04,rb1s,0.1801433701904214,-1,0.0,0.40895183969795096,-0.0,-0.0,-0.0
2022-03-07,ng1s,0.9804310061209868,-1,0.9804310061209868,0.8424794757221723,-0.11637446779110704,-0.11637446779110704,-0.11637446779110704
2022-03-07,rb1s,0.2946170125611226,-1,0.0,0.402228150136381,-0.0,-0.0,-0.0
2022-03-08,ng1s,0.8323609401256228,-1,0.8323609401256228,0.8515187999740393,-0.09775015421280181,-0.09775015421280181,-0.09775015421280181
2022-03-08,rb1s,0.1949477511573752,-1,0.0,0.4001571418388562,-0.0,-0.0,-0.0
