date,instrument,weight
2022-03-31,rb1s,0.11888282314821205
2022-04-01,rb1s,0.12199756042137802
2022-04-04,rb1s,0.1392947299812345
2022-04-05,rb1s,0.1423430271389988
2022-04-06,rb1s,0.1321288350412745
2022-04-07,rb1s,0.14195869618346876
2022-04-08,rb1s,0.13347903454456336
2022-04-11,rb1s,0.13792574838523244
2022-04-12,rb1s,0.14260230087709552
2022-04-13,cl1s,-0.08843003217211089
2022-04-13,rb1s,0.1543160339671143
2022-04-14,cl1s,-0.09363859914380598
2022-04-14,rb1s,-0.0
2022-04-18,rb1s,-0.10694420975495997
2022-04-19,rb1s,-0.09557837607598128
2022-04-20,rb1s,-0.10549076868473381
2022-04-21,rb1s,-0.1403707782230161
2022-04-22,rb1s,-0.0
2022-04-25,rb1s,0.13702555605673852
2022-04-26,rb1s,-0.0
2022-04-27,cl1s,0.10921944252680806
2022-04-27,rb1s,-0.0
2022-04-28,cl1s,0.09976694447459213
2022-04-28,rb1s,-0.10428551254213712
2022-04-29,cl1s,0.11865532780224052
2022-04-29,rb1s,-0.0
2022-05-02,cl1s,0.11742181820338662
2022-05-02,rb1s,-0.0
2022-05-03,cl1s,0.12084135014536407
2022-05-03,rb1s,-0.0
2022-05-04,cl1s,0.10587148827544657
2022-05-04,ng1s,-0.11779015747478924
2022-05-04,rb1s,-0.0
2022-05-05,cl1s,0.1270594696772179
2022-05-05,ng1s,-0.11855181343282993
2022-05-05,rb1s,-0.0
2022-05-06,cl1s,0.1266604060599621
2022-05-06,ng1s,-0.0
2022-05-06,rb1s,-0.0
2022-05-09,cl1s,0.12801260549909307
2022-05-09,rb1s,-0.0
2022-05-10,cl1s,0.12053612762435902
2022-05-10,rb1s,0.1409125714997145
2022-05-11,cl1s,0.1022601110982653
2022-05-11,rb1s,0.13148992497930975
2022-05-12,cl1s,0.10660632895429029
2022-05-12,rb1s,-0.0
2022-05-13,cl1s,0.0974337380811531
2022-05-13,rb1s,-0.0
2022-05-16,cl1s,0.10934313007090428
2022-05-16,rb1s,-0.1112456690577116
2022-05-17,cl1s,0.1141545492876315
2022-05-17,ng1s,-0.0
2022-05-17,rb1s,-0.0
2022-05-18,cl1s,0.13079784328500677
2022-05-18,ng1s,-0.0
2022-05-18,rb1s,-0.0
2022-05-19,cl1s,0.11438393786803798
2022-05-19,ng1s,-0.0
2022-05-19,rb1s,-0.0
2022-05-20,cl1s,0.12938685927834387
2022-05-20,rb1s,-0.0
2022-05-23,cl1s,0.13709541359720862
2022-05-23,rb1s,-0.0
2022-05-24,cl1s,0.14112661667432583
2022-05-24,rb1s,-0.0
2022-05-25,cl1s,0.14205162837169671
2022-05-25,ng1s,-0.0
2022-05-25,rb1s,0.11458277024341687
2022-05-26,cl1s,0.11994580220971425
2022-05-26,rb1s,0.1169839046953761
2022-05-27,cl1s,0.13476628447612335
2022-05-27,rb1s,-0.0
2022-05-31,cl1s,0.14652970176559452
2022-05-31,ho1s,-0.0
2022-05-31,rb1s,-0.0
2022-06-01,cl1s,0.15043068896811224
2022-06-01,ng1s,-0.0
2022-06-01,rb1s,-0.0
2022-06-02,cl1s,0.14446025303125654
2022-06-02,ho1s,-0.0
2022-06-02,ng1s,-0.0
2022-06-02,rb1s,-0.0
2022-06-03,cl1s,0.15337825889901832
2022-06-03,ng1s,-0.0
2022-06-03,rb1s,-0.1424321283433119
2022-06-06,cl1s,0.15944784675010007
2022-06-06,ng1s,-0.0
2022-06-06,rb1s,-0.0
2022-06-07,cl1s,0.15568873005358608
2022-06-07,ng1s,-0.13314065363587443
2022-06-07,rb1s,-0.0
2022-06-08,cl1s,0.15282235202479075
2022-06-08,ng1s,-0.12899503934050793
2022-06-08,rb1s,-0.0
2022-06-09,cl1s,0.1566630365972181
2022-06-09,rb1s,-0.0
2022-06-10,cl1s,0.16256342443438462
2022-06-10,rb1s,-0.0
2022-06-13,cl1s,0.16001174382265262
2022-06-13,rb1s,0.11997668897037293
2022-06-14,cl1s,0.14872898568021192
2022-06-14,rb1s,0.12293084548257989
2022-06-15,cl1s,0.13742166993296764
2022-06-15,rb1s,0.12752948994088203
