model_type,ticker,tb_config_name,model_name,feature_method,importance_group,cluster_importance,group_type,representative_model_features,n_model_features,cluster_id,cluster_n_features,cluster_features,dropped_cluster_features,importance_type
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,open_interest_log_change,0.006211524179760698,single_feature,['open_interest_log_change'],1,,1,['open_interest_log_change'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,hmm_prob_stress,0.006109883979162886,single_feature,['hmm_prob_stress'],1,,1,['hmm_prob_stress'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,volume_to_open_interest,0.005360044659103419,single_feature,['volume_to_open_interest'],1,,1,['volume_to_open_interest'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,signal_x_hmm_confidence,0.005219328180624538,single_feature,['signal_x_hmm_confidence'],1,,1,['signal_x_hmm_confidence'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,signal_x_hmm_prob_stress,0.005143414800262271,single_feature,['signal_x_hmm_prob_stress'],1,,1,['signal_x_hmm_prob_stress'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,days_since_signal_change,0.004348575762478159,single_feature,['days_since_signal_change'],1,,1,['days_since_signal_change'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,vol_ratio_5_20d,0.004149798738992335,single_feature,['vol_ratio_5_20d'],1,,1,['vol_ratio_5_20d'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,"cluster_013: volume_zscore_20d (rep, n=2)",0.003987007738586492,correlation_cluster,['volume_zscore_20d'],1,13.0,2,"['volume_zscore_20d', 'volume_zscore_63d']",['volume_zscore_63d'],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,"cluster_009: hl_range (rep, n=2)",0.0038107423011399188,correlation_cluster,['hl_range'],1,9.0,2,"['hl_range', 'true_range']",['true_range'],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,"cluster_003: rsi_7d_change (rep, n=6)",0.003769932085116666,correlation_cluster,['rsi_7d_change'],1,3.0,6,"['ret_1d', 'co_range', 'rsi_7d_change', 'rsi_14d_change', 'rsi_21d_change', 'body_pct']","['ret_1d', 'co_range', 'rsi_14d_change', 'rsi_21d_change', 'body_pct']",random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,close_position_in_bar,0.0037551684305132194,single_feature,['close_position_in_bar'],1,,1,['close_position_in_bar'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,hmm_prob_upside_breakout,0.003748803666118832,single_feature,['hmm_prob_upside_breakout'],1,,1,['hmm_prob_upside_breakout'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,volume,0.00371818513594322,single_feature,['volume'],1,,1,['volume'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,"cluster_004: ret_5d_x_hmm_confidence (rep, n=2)",0.003609558923357202,correlation_cluster,['ret_5d_x_hmm_confidence'],1,4.0,2,"['ret_5d', 'ret_5d_x_hmm_confidence']",['ret_5d'],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,gap_open_pct,0.00349814946233861,single_feature,['gap_open_pct'],1,,1,['gap_open_pct'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,lower_wick_pct,0.0034187071198889325,single_feature,['lower_wick_pct'],1,,1,['lower_wick_pct'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,hmm_prob_calm_negative,0.003355169310532478,single_feature,['hmm_prob_calm_negative'],1,,1,['hmm_prob_calm_negative'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,macd_hist_chg,0.003042341296277007,single_feature,['macd_hist_chg'],1,,1,['macd_hist_chg'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,mom_sign_20d,0.002937669942205223,single_feature,['mom_sign_20d'],1,,1,['mom_sign_20d'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,signal_rolling_mean_5d,0.0028799679873494108,single_feature,['signal_rolling_mean_5d'],1,,1,['signal_rolling_mean_5d'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,mom_sign_252d,0.0028249203074263303,single_feature,['mom_sign_252d'],1,,1,['mom_sign_252d'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,hmm_regime_confidence,0.0021366502888822427,single_feature,['hmm_regime_confidence'],1,,1,['hmm_regime_confidence'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,mom_sign_126d,0.0016566419498388156,single_feature,['mom_sign_126d'],1,,1,['mom_sign_126d'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,volume_log_change,0.0014403204318127556,single_feature,['volume_log_change'],1,,1,['volume_log_change'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,mom_sign_63d,0.0011341270640691813,single_feature,['mom_sign_63d'],1,,1,['mom_sign_63d'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,hmm_predicted_regime,0.000926541768673149,single_feature,['hmm_predicted_regime'],1,,1,['hmm_predicted_regime'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,primary_signal,0.00069366763744569,single_feature,['primary_signal'],1,,1,['primary_signal'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,hmm_market_upside_breakout,0.00039564226433416657,single_feature,['hmm_market_upside_breakout'],1,,1,['hmm_market_upside_breakout'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,mom_sign_5d,0.0003503226732242202,single_feature,['mom_sign_5d'],1,,1,['mom_sign_5d'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,hmm_market_calm_negative,0.0002424947998013609,single_feature,['hmm_market_calm_negative'],1,,1,['hmm_market_calm_negative'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,hmm_market_stress,8.334932990901888e-05,single_feature,['hmm_market_stress'],1,,1,['hmm_market_stress'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,signal_changed,7.509295581001591e-05,single_feature,['signal_changed'],1,,1,['signal_changed'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,hmm_market_calm_positive,0.0,single_feature,['hmm_market_calm_positive'],1,,1,['hmm_market_calm_positive'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,hmm_regime_missing,0.0,single_feature,['hmm_regime_missing'],1,,1,['hmm_regime_missing'],[],random_forest_mdi
logistic_regression,ho1s,garman_klass_10d_tp2_sl2,l2_C0.1,pca,pca_005,0.5708312936054548,pca_component,['pca_005'],1,,1,['pca_005'],[],abs_standardized_logistic_coefficient
logistic_regression,ho1s,garman_klass_10d_tp2_sl2,l2_C0.1,pca,pca_001,0.5211951338450634,pca_component,['pca_001'],1,,1,['pca_001'],[],abs_standardized_logistic_coefficient
logistic_regression,ho1s,garman_klass_10d_tp2_sl2,l2_C0.1,pca,pca_016,0.3661396204953184,pca_component,['pca_016'],1,,1,['pca_016'],[],abs_standardized_logistic_coefficient
logistic_regression,ho1s,garman_klass_10d_tp2_sl2,l2_C0.1,pca,pca_006,0.35864125302405675,pca_component,['pca_006'],1,,1,['pca_006'],[],abs_standardized_logistic_coefficient
logistic_regression,ho1s,garman_klass_10d_tp2_sl2,l2_C0.1,pca,pca_007,0.30493013492348336,pca_component,['pca_007'],1,,1,['pca_007'],[],abs_standardized_logistic_coefficient
logistic_regression,ho1s,garman_klass_10d_tp2_sl2,l2_C0.1,pca,pca_013,0.2806723911356443,pca_component,['pca_013'],1,,1,['pca_013'],[],abs_standardized_logistic_coefficient
logistic_regression,ho1s,garman_klass_10d_tp2_sl2,l2_C0.1,pca,primary_signal,0.279355175908659,single_feature,['primary_signal'],1,,1,['primary_signal'],[],abs_standardized_logistic_coefficient
