model_type,ticker,tb_config_name,feature_method,mean_auc,std_auc,median_auc,n_folds,n_cpcv_paths,median_path_trade_sharpe,mean_path_trade_sharpe,path_sharpe_iqr,min_path_trade_sharpe,max_path_trade_sharpe,mean_precision,mean_recall,mean_f1,mean_trade_count,num_days,model_name,penalty,C,l1_ratio,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,feature_params
random_forest,ng1s,garman_klass_10d_tp2_sl2,pca,0.5868192571317571,0.13415443344217426,0.5386002886002885,28,7,0.3087221265366824,0.30280250728737373,0.14903243965720087,0.20201145226483305,0.42796654475878043,0.6379616094689624,0.7314121394478538,0.6380671971668794,11.714285714285714,10,rf_shallow,,,,300.0,4.0,10.0,sqrt,balanced,"{""n_components"": 0.95, ""standardize"": true, ""impute_strategy"": ""median"", ""component_prefix"": ""pca"", ""random_state"": 42, ""svd_solver"": ""full""}"
random_forest,ng1s,parkinson_10d_tp2_sl2,pca,0.5868192571317571,0.13415443344217426,0.5386002886002885,28,7,0.30849497581127017,0.3032342625291125,0.14866769598531163,0.20210066862774953,0.42737818900540053,0.6379616094689624,0.7314121394478538,0.6380671971668794,11.714285714285714,10,rf_shallow,,,,300.0,4.0,10.0,sqrt,balanced,"{""n_components"": 0.95, ""standardize"": true, ""impute_strategy"": ""median"", ""component_prefix"": ""pca"", ""random_state"": 42, ""svd_solver"": ""full""}"
random_forest,ng1s,parkinson_10d_tp2_sl2,pca,0.5799935404102071,0.1327194023070913,0.5104166666666666,28,7,0.40152241942500494,0.37121887721008234,0.12841464996387114,0.2471047175420821,0.476857860651576,0.654713741557229,0.7466345162773734,0.6541996197657678,11.75,10,rf_medium_depth,,,,500.0,8.0,8.0,sqrt,balanced,"{""n_components"": 0.95, ""standardize"": true, ""impute_strategy"": ""median"", ""component_prefix"": ""pca"", ""random_state"": 42, ""svd_solver"": ""full""}"
random_forest,ng1s,garman_klass_10d_tp2_sl2,pca,0.5797188151354817,0.1324529735028075,0.5104166666666666,28,7,0.40200328977059613,0.3720341173381457,0.12808940902374105,0.2463080508069005,0.4847118756522092,0.654713741557229,0.7466345162773734,0.6541996197657678,11.75,10,rf_medium_depth,,,,500.0,8.0,8.0,sqrt,balanced,"{""n_components"": 0.95, ""standardize"": true, ""impute_strategy"": ""median"", ""component_prefix"": ""pca"", ""random_state"": 42, ""svd_solver"": ""full""}"
random_forest,ng1s,ewma_10d_tp2_sl2,pca,0.5723481131963276,0.13392183397583943,0.5386002886002885,28,7,0.33363147068214277,0.33580705360342533,0.05980880957768908,0.2357954643554582,0.453880353187205,0.692494369542689,0.7966823850752422,0.6960342217738861,12.964285714285714,10,rf_shallow,,,,300.0,4.0,10.0,sqrt,balanced,"{""n_components"": 0.95, ""standardize"": true, ""impute_strategy"": ""median"", ""component_prefix"": ""pca"", ""random_state"": 42, ""svd_solver"": ""full""}"
random_forest,rb1s,ewma_10d_tp2_sl2,corr_cluster,0.5071043526678768,0.09682466411705298,0.5118849443139504,28,7,0.03005039983081195,0.02689323395477259,0.037797231257113095,-0.028849803705531647,0.09110375068818098,0.5119578675331038,0.5763357932075301,0.5038628905308531,71.64285714285714,10,rf_shallow,,,,300.0,4.0,10.0,sqrt,balanced,"{""corr_threshold"": 0.9, ""corr_method"": ""spearman"", ""selection_method"": ""target_corr"", ""min_periods"": 20}"
random_forest,rb1s,ewma_10d_tp2_sl2,pca,0.5049579532117113,0.06815712988437828,0.5196346679601376,28,7,0.0032429887480916876,0.012848201135717194,0.031094813830072978,-0.018234657492373983,0.049811693264033216,0.5012272079645761,0.57488805634489,0.49865513999890637,72.67857142857143,10,rf_shallow,,,,300.0,4.0,10.0,sqrt,balanced,"{""n_components"": 0.95, ""standardize"": true, ""impute_strategy"": ""median"", ""component_prefix"": ""pca"", ""random_state"": 42, ""svd_solver"": ""full""}"
random_forest,rb1s,garman_klass_10d_tp2_sl2,corr_cluster,0.503549111694267,0.11098566668354483,0.5096872515239862,28,7,0.020660400565870023,0.01113406711582455,0.04153107220620548,-0.027522674443970923,0.03701877195974336,0.49517972208514927,0.5574636513741827,0.4864373728761385,70.32142857142857,10,rf_shallow,,,,300.0,4.0,10.0,sqrt,balanced,"{""corr_threshold"": 0.9, ""corr_method"": ""spearman"", ""selection_method"": ""target_corr"", ""min_periods"": 20}"
random_forest,rb1s,parkinson_10d_tp2_sl2,corr_cluster,0.5009829554177481,0.1127591256365533,0.49592753114400323,28,7,0.012140555682700626,0.012639217875611184,0.022895725341401614,-0.003824353726810695,0.04203803624695701,0.49049923024848335,0.5726745281112599,0.49737281314460613,73.39285714285714,10,rf_shallow,,,,300.0,4.0,10.0,sqrt,balanced,"{""corr_threshold"": 0.9, ""corr_method"": ""spearman"", ""selection_method"": ""target_corr"", ""min_periods"": 20}"
random_forest,rb1s,ewma_5d_tp2_sl2,corr_cluster,0.49504091481722673,0.08404759322549263,0.5081525241675617,28,7,0.0723784279793755,0.07274208419877991,0.019184019205267924,0.02338889809190539,0.10239724441643072,0.5207440134083855,0.5717773789836054,0.5268029205859258,70.32142857142857,5,rf_shallow,,,,300.0,4.0,10.0,sqrt,balanced,"{""corr_threshold"": 0.9, ""corr_method"": ""spearman"", ""selection_method"": ""target_corr"", ""min_periods"": 20}"
neural_network_vsn,cl1s,garman_klass_10d_tp2_sl2,corr_cluster,0.5264541638608083,0.14729030065621876,0.5083462918660288,28,7,1.637743118308006,1.5418753890684782,1.2605481778676801,-1.207124351922578,5.376631452691343,0.6677912903311255,0.626749976036445,0.6042358127823019,77.21428571428571,10,vsn_small_fast,,,,,,,,use_pos_weight=True,"{""corr_method"": ""spearman"", ""corr_threshold"": 0.9, ""min_periods"": 20, ""selection_method"": ""target_corr""}"
neural_network_vsn,ho1s,parkinson_10d_tp2_sl2,corr_cluster,0.7010523769783028,0.19295644279793991,0.6923076923076923,28,7,2.352347094731527,3.034684113313499,2.0254377313122927,-1.6477748584054372,19.129477288814424,0.7963307525807527,0.7691615923758782,0.7236479778560525,13.285714285714286,10,vsn_medium_regularised,,,,,,,,use_pos_weight=True,"{""corr_method"": ""spearman"", ""corr_threshold"": 0.9, ""min_periods"": 20, ""selection_method"": ""target_corr""}"
neural_network_vsn,rb1s,ewma_10d_tp1_5_sl1_5,corr_cluster,0.5300044347823858,0.07824726535140941,0.5386352068442711,28,7,0.1809237816434263,-0.01468284099858437,2.2688346009547464,-1.838949051225558,2.2364134546675443,0.4981544717126587,0.5750309580228752,0.4982399418006627,33.964285714285715,10,vsn_small_fast,,,,,,,,use_pos_weight=True,"{""corr_method"": ""spearman"", ""corr_threshold"": 0.9, ""min_periods"": 20, ""selection_method"": ""target_corr""}"
