date,instrument,primary_signal,hmm_volatility_regime,hmm_prob_low_vol,hmm_prob_normal_vol,hmm_prob_high_vol,hmm_prob_extreme_vol,hmm_prob_low_or_normal_vol,hmm_prob_high_or_extreme_vol
2020-10-02,rb1s,1,extreme_vol,0.0001525214329108,9.119506305345533e-13,0.0009175414840762,0.9989299370817012,0.00015252143382275064,0.9998474785657774
2020-10-02,si1s,1,extreme_vol,1.896286352225764e-05,1.071446498798453e-05,0.0006172068789089,0.9993531157939504,2.967732851024217e-05,0.9999703226728592
2020-10-05,cl1s,1,high_vol,2.8575377166157408e-21,1.0850686004433872e-08,0.9999997698178316,2.1932894424077346e-07,1.0850686004436729e-08,0.9999999891467758
2020-10-05,es1s,1,high_vol,7.076722062697914e-07,0.0116062263123424,0.987034291663346,0.0013587743512891,0.01160693398454867,0.9883930660146351
2020-10-05,fesx1s,1,high_vol,0.0015146987753903,0.0007065903078915,0.9976925239313672,8.618698632448317e-05,0.0022212890832818003,0.9977787109176917
2020-10-05,gc1s,0,high_vol,1.6058056912213095e-06,0.000935899223174,0.9990171206235464,4.537434809457965e-05,0.0009375050288652213,0.999062494971641
2020-10-05,hg1s,1,extreme_vol,0.1575630265937237,0.0190555414447402,0.0093695355375011,0.8140118964213633,0.1766185680384639,0.8233814319588644
2020-10-05,ho1s,0,high_vol,3.572131889712875e-15,3.731487327625854e-06,0.9999931940050972,3.074509284172008e-06,3.731487331197986e-06,0.9999962685143814
2020-10-05,ng1s,0,extreme_vol,1.4687265030610375e-28,8.309233449474148e-08,1.0069525461178526e-06,0.999998909953004,8.309233449474148e-08,0.9999999169055501
2020-10-05,nq1s,1,high_vol,1.0687295849913583e-10,0.035639150295191,0.8403736599732526,0.1239871896232678,0.03563915040206396,0.9643608495965205
2020-10-05,pl1s,1,extreme_vol,1.6934196077932365e-11,3.944152797420632e-05,3.1141534928992815e-11,0.9999605584227934,3.9441544908402394e-05,0.999960558453935
