date,instrument,primary_signal,hmm_predicted_regime,hmm_regime_confidence,hmm_regime_prob_0,hmm_regime_prob_1,hmm_regime_prob_2,hmm_regime_prob_3
2020-05-08,pl1s,-1,0.0,0.9999931059884408,0.9999931059884408,6.555811476575715e-10,4.617238037299279e-11,6.893310019272908e-06
2020-05-08,rb1s,-1,1.0,0.9999999999345164,1.381324709389509e-48,0.9999999999345164,6.636033532316729e-11,1.8299151540549687e-38
2020-05-08,si1s,1,3.0,0.9709867086732308,0.0288206954308693,0.0001228143767084,6.978152041232309e-05,0.9709867086732308
2020-05-11,cl1s,1,0.0,1.0,1.0,2.669103306338691e-72,4.958761649245966e-252,1.9347231680748592e-14
2020-05-11,es1s,-1,1.0,0.9103373498411412,0.0889629538078997,0.9103373498411412,0.0006996963477289,1.4995730941676448e-12
2020-05-11,fesx1s,1,1.0,0.7851611400537454,0.0049810351631517,0.7851611400537454,0.2098578247844823,5.862674049239247e-17
2020-05-11,gc1s,0,3.0,0.9594554310592668,0.0052683742020352,0.0352731560465273,3.0386953232981983e-06,0.9594554310592668
2020-05-11,hg1s,-1,2.0,0.9943704364337166,0.0042787457749821,0.0006217381172069,0.9943704364337166,0.000729079677027
2020-05-11,ho1s,0,0.0,1.0,1.0,1.2992041024287722e-37,6.861599799587554e-13,1.0035095730171812e-12
2020-05-11,ng1s,-1,0.0,0.9025862785834596,0.9025862785834596,0.0931892560511609,1.3552031566419308e-11,0.0042244653511646
2020-05-11,nq1s,-1,1.0,0.9991670509396448,0.0001907309063023,0.9991670509396448,0.000642186404735,3.1748819953290875e-08
2020-05-11,pl1s,-1,0.0,0.9999999999490684,0.9999999999490684,4.897274990979196e-11,1.3391262718201344e-12,6.519110971808286e-16
2020-05-11,rb1s,-1,1.0,1.0,6.613770471162954e-52,1.0,1.3828771566299336e-12,1.1304469633676592e-60
2020-05-11,si1s,1,1.0,0.9278218790091826,0.0692898996823569,0.9278218790091826,0.0017583455154307,0.0011298757900519
2020-05-12,cl1s,1,0.0,0.9999681701346996,0.9999681701346996,1.0533370538540514e-67,3.777602939019147e-254,3.182986816107003e-05
2020-05-12,es1s,1,0.0,0.9814822329903066,0.9814822329903066,0.0185172899082371,4.771019817233637e-07,5.5823494312965115e-34
2020-05-12,fesx1s,1,2.0,0.6272460994211783,0.0068428282405312,0.3659110723379961,0.6272460994211783,7.624975768625084e-13
2020-05-12,gc1s,0,3.0,0.9988988854846756,0.0001069920947564,0.0009876485627151,6.473856194628354e-06,0.9988988854846756
2020-05-12,hg1s,-1,2.0,0.8456141378526154,0.1519999298869495,0.0013163815432603,0.8456141378526154,0.0010695507169198
2020-05-12,ho1s,0,0.0,1.0,1.0,1.4680774420986326e-50,1.7900774072863343e-14,2.4921729333827996e-13
2020-05-12,ng1s,-1,0.0,0.9999857926004272,0.9999857926004272,1.3179839332573875e-05,3.5329602562687704e-25,1.0275597779188838e-06
2020-05-12,nq1s,1,1.0,0.9985296637180184,0.0013163075485794,0.9985296637180184,0.0001540287320499,1.5004601941505426e-15
2020-05-12,pl1s,1,0.0,0.9965647003710176,0.9965647003710176,0.0034109784010391,2.038824543958348e-05,3.93297963701641e-06
2020-05-12,rb1s,-1,1.0,0.9999999999272404,3.229750557274757e-42,0.9999999999272404,7.269987225900021e-11,6.430528501930541e-42
2020-05-12,si1s,1,1.0,0.948092652243477,0.0054188673623468,0.948092652243477,0.0007813959380572,0.0457070844529602
2020-05-13,cl1s,1,0.0,1.0,1.0,1.7953347405841202e-69,2.1105152215118198e-244,7.370341003319063e-13
2020-05-13,es1s,1,0.0,0.9704024957359292,0.9704024957359292,0.0295578150618479,3.968920386817979e-05,1.348052511713495e-23
2020-05-13,fesx1s,1,1.0,0.8401888291357152,0.002373712906834,0.8401888291357152,0.1574374579561245,4.865794082381282e-20
2020-05-13,gc1s,0,3.0,0.999648534669255,4.485814705728369e-05,0.0003057162635071,8.909216642200825e-07,0.999648534669255
2020-05-13,hg1s,-1,0.0,0.9444868229228056,0.9444868229228056,7.49634264340211e-05,0.0553664627649562,7.175088735261212e-05
2020-05-13,ho1s,0,0.0,0.9999899216780618,0.9999899216780618,5.384977122525291e-35,5.0313710759190684e-11,1.007827337603284e-05
2020-05-13,ng1s,0,0.0,0.9999685018569312,0.9999685018569312,2.573005525910299e-05,3.2369181603467473e-23,5.7680843874673954e-06
2020-05-13,nq1s,1,1.0,0.9987792637146772,0.0005420821744063,0.9987792637146772,0.0006786541053183,4.183802606939178e-12
2020-05-13,pl1s,1,0.0,0.9338592890917554,0.9338592890917554,0.0658344113585511,0.0003052877130879,1.0118373263562685e-06
2020-05-13,rb1s,1,1.0,1.0,9.887608044356655e-78,1.0,1.8341890133260343e-16,7.751345281796784e-103
2020-05-13,si1s,1,1.0,0.9836784653397138,0.0020338639163014,0.9836784653397138,0.0005960682653241,0.013691602477393
2020-05-14,cl1s,1,0.0,0.9999971438196414,0.9999971438196414,6.585770072586431e-37,9.743971925276304e-287,2.856180568634472e-06
2020-05-14,es1s,1,0.0,0.9659416470161718,0.9659416470161718,0.0340378372501698,2.051573410320022e-05,1.357849403909871e-23
2020-05-14,fesx1s,1,1.0,0.9714970637831294,0.001226545249222,0.9714970637831294,0.0272763909689038,1.3873605271654386e-21
2020-05-14,gc1s,0,3.0,0.9996265306569336,0.0001864957923873,0.0001869735379057,9.58634109260022e-12,0.9996265306569336
2020-05-14,hg1s,-1,0.0,0.830144943814915,0.830144943814915,4.00138854707609e-05,0.1697488675775908,6.617471846798868e-05
2020-05-14,ho1s,0,3.0,0.9967916962470612,0.0032083037002832,1.3419908216176574e-63,5.2048206041048065e-11,0.9967916962470612
2020-05-14,ng1s,-1,0.0,0.994534114510222,0.994534114510222,0.0022195753680562,7.95606770735786e-16,0.0032463101238359
2020-05-14,nq1s,1,1.0,0.9995056205395468,0.0001316035866581,0.9995056205395468,0.0003627532151613,2.265708333432445e-08
2020-05-14,pl1s,1,0.0,0.9036290437144218,0.9036290437144218,0.0594703324736207,0.0004322521468761,0.0364683716660336
2020-05-14,rb1s,-1,1.0,1.0,1.3163765514947509e-102,1.0,9.681016133576072e-18,2.441925521033199e-84
2020-05-14,si1s,1,3.0,0.6817501273804494,0.3181570279937394,1.7394780871319444e-09,9.28428846980941e-05,0.6817501273804494
2020-05-15,cl1s,0,0.0,0.9999782002025904,0.9999782002025904,1.6923593331527259e-69,9.036522564825813e-256,2.179980030835227e-05
2020-05-15,es1s,1,1.0,0.8592555910526972,0.1381301549977094,0.8592555910526972,0.0026142536680887,2.8044586825415126e-10
2020-05-15,fesx1s,-1,1.0,0.6195012902523871,0.0138341696390565,0.6195012902523871,0.3666645401086638,1.5016376216525565e-12
2020-05-15,gc1s,0,3.0,0.999595910660741,6.0127897123525955e-05,0.0003438906587894,7.078260578189307e-08,0.999595910660741
2020-05-15,hg1s,1,0.0,0.6592179145203504,0.6592179145203504,0.0001620168516634,0.3404420847675676,0.0001779838574394
2020-05-15,ho1s,0,0.0,0.9969601853465062,0.9969601853465062,4.181524489990274e-29,4.277443933655302e-09,0.0030398103752677
2020-05-15,ng1s,-1,0.0,0.9697510590251854,0.9697510590251854,0.0288942510975262,1.2274870767774208e-13,0.0013546898800838
2020-05-15,nq1s,1,1.0,0.9994591441094424,7.04622599196416e-05,0.9994591441094424,0.0004685216162899,1.8720157838928856e-06
2020-05-15,pl1s,0,0.0,1.0,1.0,9.21138013257662e-44,1.6778839541086943e-28,4.010012845461015e-34
2020-05-15,rb1s,-1,1.0,1.0,4.910169962134919e-69,1.0,9.370974639624797e-14,5.98154733536204e-54
2020-05-15,si1s,1,0.0,1.0,1.0,1.569075211894862e-39,3.2873336337395524e-15,4.66325774251719e-19
2020-05-18,cl1s,0,0.0,0.999030021420476,0.999030021420476,4.415348450941047e-68,8.939752025320506e-258,0.0009699785801547
2020-05-18,es1s,1,0.0,0.9999001540390956,0.9999001540390956,9.984553742070076e-05,4.2224787816395567e-10,3.960962630359778e-46
2020-05-18,fesx1s,-1,1.0,0.9999999996107364,2.356019604817342e-10,0.9999999996107364,1.5501403115113523e-10,1.0965779436147552e-59
2020-05-18,gc1s,0,3.0,0.9861650782378882,0.0126029497682742,0.0012319719914357,2.6386665231199522e-17,0.9861650782378882
2020-05-18,hg1s,-1,2.0,0.9847366153163852,1.2095218973149449e-15,0.0145546776106687,0.9847366153163852,0.0007087070739829
2020-05-18,ho1s,-1,3.0,0.9998430828146004,0.0001569171845402,3.355627551596482e-89,1.117508920783213e-12,0.9998430828146004
2020-05-18,ng1s,-1,0.0,0.9993704458291734,0.9993704458291734,1.4466123495152455e-05,1.5747075938877777e-21,0.0006150880451088
