date,instrument,primary_signal,hmm_return_regime,hmm_prob_downside,hmm_prob_weak,hmm_prob_positive,hmm_prob_strong_upside,hmm_prob_downside_or_weak,hmm_prob_positive_or_strong_upside
2021-08-16,cl1s,1,weak,0.1821847634636365,0.7442758439251653,0.0707374249379268,0.0028019676766232,0.9264606073888018,0.07353939261455
2021-08-16,es1s,-1,strong_upside,9.610898216756525e-08,6.43697056785881e-05,0.0001500937904493,0.999785440395574,6.446581466075566e-05,0.9999355341860233
2021-08-16,fesx1s,-1,positive,1.2384009714837077e-07,0.0002261464554594,0.9996866652705308,8.706443403028936e-05,0.00022627029555654838,0.9997737297045611
2021-08-16,gc1s,0,strong_upside,3.711053685833785e-05,0.0012791675957652,0.0003604937719751,0.9983232280971304,0.001316278132623538,0.9986837218691055
2021-08-16,hg1s,-1,weak,0.0003022105043351,0.9714504205413966,0.0275928168241205,0.0006545521268527,0.9717526310457317,0.0282473689509732
2021-08-16,ho1s,0,weak,0.0261019602464462,0.9727756342363648,0.0010259107010806,9.649481324579116e-05,0.998877594482811,0.001122405514326391
2021-08-16,ng1s,0,positive,0.0049126811857454,0.0069806091634686,0.9879815666972356,0.0001251429548575,0.011893290349214,0.9881067096520931
2021-08-16,nq1s,1,strong_upside,1.0479894803614595e-08,0.0001284824007652,0.00017860402807,0.9996929030906084,0.0001284928806600036,0.9998715071186784
2021-08-16,pl1s,1,weak,0.0012635199856175,0.8171532502991629,0.1814967620429899,8.646766938874068e-05,0.8184167702847803,0.18158322971237864
2021-08-16,rb1s,1,downside,0.7896931988192394,0.2049647688635346,0.0053420321823059,1.3597114979886274e-10,0.994657967682774,0.00534203231827705
2021-08-16,si1s,1,positive,0.0597998760721637,0.0119282897614287,0.883458868786946,0.044812965380007,0.0717281658335924,0.928271834166953
2021-08-17,cl1s,1,positive,1.0666627814007551e-43,1.651793709600244e-62,1.0,1.0863224245647724e-48,1.0666627814007551e-43,1.0
2021-08-17,es1s,1,strong_upside,2.938398020779064e-06,0.0020531010139841,0.0016942141116019,0.9962497464769476,0.002056039412004879,0.9979439605885495
2021-08-17,fesx1s,-1,positive,3.728160855282583e-08,6.089608985054785e-05,0.9998858043452108,5.326228208473301e-05,6.0933371459100676e-05,0.9999390666272955
2021-08-17,gc1s,0,strong_upside,3.5809901951413204e-05,0.0015026752241643,0.0092539793770635,0.9892075354953318,0.0015384851261157132,0.9984615148723953
2021-08-17,hg1s,-1,weak,0.0083683489615155,0.9913283713670286,4.796228696761846e-12,0.0003032796671027,0.9996967203285441,0.0003032796718989287
2021-08-17,ho1s,0,weak,0.0007496006378383,0.9990391902714028,0.0001917050492847,1.9504043547814204e-05,0.9997887909092411,0.00021120909283251418
2021-08-17,ng1s,0,positive,0.002085090854612,0.0499413849603516,0.9478399871487287,0.0001335370342157,0.0520264758149636,0.9479735241829444
2021-08-17,nq1s,1,strong_upside,2.1442177434506546e-07,0.0029520892121708,0.0006109387115677,0.996436757654047,0.0029523036339451454,0.9970476963656147
2021-08-17,pl1s,1,positive,2.4956934075233228e-11,7.38793133015842e-13,0.9999999999708962,2.8759372597698147e-31,2.569572720824907e-11,0.9999999999708962
2021-08-17,rb1s,1,downside,0.9887335880096036,0.0109165190056935,0.0003498400389425,5.2945678601943553e-08,0.9996501070152971,0.00034989298462110197
2021-08-17,si1s,1,positive,0.0036850460066311,0.0016532443729898,0.9946456973983104,1.6012225429097764e-05,0.0053382903796209,0.9946617096237396
2021-08-18,cl1s,1,downside,0.837859650231886,0.0444206582027214,0.1155552338996835,0.002164457667389,0.8822803084346074,0.1177196915670725
2021-08-18,es1s,1,strong_upside,0.0001263218594063,0.1255684602805838,0.0175828360139757,0.8567223818470272,0.1256947821399901,0.8743052178610029
2021-08-18,fesx1s,-1,positive,4.100189285433033e-08,9.156955643749488e-05,0.9998800954095096,2.8294031941989273e-05,9.161055833034921e-05,0.9999083894414517
2021-08-18,gc1s,0,strong_upside,3.339069999352712e-05,0.0015251387069947,0.0086062006374451,0.9898352699530796,0.0015585294069882273,0.9984414705905247
2021-08-18,hg1s,-1,weak,0.0168725904963263,0.98237656556751,1.0361509212070199e-11,0.0007508439253257,0.9992491560638362,0.0007508439356872092
2021-08-18,ho1s,0,weak,0.0074456414519228,0.9919220383230056,0.0004603356017847,0.0001719846211784,0.9993676797749285,0.0006323202229631
2021-08-18,ng1s,0,positive,0.0002183935404272,0.0011442048358176,0.9986327185501862,4.683072069025671e-06,0.0013625983762448,0.9986374016222552
2021-08-18,nq1s,1,strong_upside,2.303546083834893e-07,0.0030225942792325,0.0005628952849774,0.9964142800799348,0.0030228246338408833,0.9969771753649123
2021-08-18,pl1s,1,positive,0.0019354477980977,0.2324864617629849,0.6181442987256568,0.1474337917102918,0.2344219095610826,0.7655780904359486
2021-08-18,rb1s,1,downside,0.9987795932947774,0.0009524779358216,0.0001533955311428,0.0001145332414865,0.999732071230599,0.0002679287726293
2021-08-18,si1s,1,positive,0.0227233975829031,0.0050839028948689,0.9721877755335304,4.923986473520358e-06,0.027807300477772,0.972192699520004
2021-08-19,cl1s,1,downside,0.6842792800778198,0.3030337897676514,0.0118022606330058,0.0008846695211395,0.9873130698454712,0.012686930154145301
2021-08-19,es1s,1,strong_upside,1.6745005353176168e-06,0.0036549732565297,0.0004381395258941,0.995905212716371,0.0036566477570650177,0.9963433522422651
2021-08-19,fesx1s,1,weak,0.000415232745703,0.4995852668212303,0.406528078500482,0.0934714219318857,0.5000004995669333,0.49999950043236774
2021-08-19,gc1s,0,strong_upside,3.546895261721474e-05,0.0018156678433411,0.002588184828979,0.995560678375732,0.0018511367959583149,0.9981488632047111
2021-08-19,hg1s,-1,weak,0.0112457053688784,0.9797266915618568,3.0801749922896017e-18,0.0090276030706098,0.9909723969307351,0.009027603070609803
2021-08-19,ho1s,0,downside,0.7446782489728138,0.2473129664644094,0.0079591398416226,4.964472279823516e-05,0.9919912154372231,0.008008784564420836
2021-08-19,ng1s,0,positive,0.000255139664899,0.0043193757564318,0.9954150115445788,1.0473032760485356e-05,0.0045745154213308005,0.9954254845773393
2021-08-19,nq1s,1,strong_upside,1.6031135342086274e-07,0.0021553951872533,0.0008326601585646,0.9970117843413644,0.002155555498606721,0.997844444499929
2021-08-19,pl1s,1,positive,4.8682017985102447e-11,2.5202670754478457e-12,0.9999999999490684,2.1905542025870385e-27,5.1202285060550295e-11,0.9999999999490684
2021-08-19,rb1s,1,weak,0.1469078733392604,0.8212632545088268,0.0318288721494121,1.522841169862865e-12,0.9681711278480871,0.031828872150934946
2021-08-19,si1s,1,positive,0.023524128361681,0.0096902637985641,0.966783559973238,2.047869942748857e-06,0.0332143921602451,0.9667856078431807
2021-08-20,cl1s,1,downside,0.7523786587507705,0.2335743831091904,0.0135807217958815,0.0004662363439649,0.9859530418599609,0.0140469581398464
2021-08-20,es1s,1,strong_upside,6.240909028512179e-06,0.0050064975514899,0.0031014723863604,0.9918857891515742,0.0050127384605184126,0.9949872615379346
2021-08-20,fesx1s,1,positive,1.2950464762686055e-06,0.0015116369524387,0.997856318245276,0.000630749757324,0.0015129319989149687,0.9984870680026
2021-08-20,gc1s,0,strong_upside,6.819821341420303e-05,0.0016750696034816,0.0251000487445781,0.9731566834362584,0.001743267816895803,0.9982567321808364
2021-08-20,hg1s,-1,weak,0.0034511141786389,0.9905682521815746,8.210020963312084e-11,0.0059806335579217,0.9940193663602135,0.0059806336400219096
2021-08-20,ho1s,0,downside,0.9974626231281736,0.0001020888664493,0.0024342847173075,1.0032864331467057e-06,0.9975647119946228,0.0024352880037406465
2021-08-20,ng1s,0,positive,1.754912335776673e-05,0.2459705560397272,0.7540063068948863,5.5879390777066335e-06,0.24598810516308497,0.754011894833964
2021-08-20,nq1s,-1,strong_upside,1.7246779943701285e-07,0.0015831210660732,0.0007128677064342,0.9977038387598652,0.001583293533872637,0.9984167064662994
2021-08-20,pl1s,1,positive,1.2115776274885234e-07,6.633559754136164e-10,0.997614099545178,0.0023857786319125,1.2182111872426594e-07,0.9999998781770905
2021-08-20,rb1s,1,weak,0.0243550795595438,0.9709181463349064,0.0047267741021683,1.2058154570321297e-13,0.9952732258944501,0.004726774102288882
2021-08-20,si1s,1,positive,0.0525616350387586,0.0540936386624015,0.8930642206763848,0.0002805056238779,0.1066552737011601,0.8933447263002627
2021-08-23,cl1s,1,strong_upside,2.934172602641579e-07,1.0372932034382776e-16,1.596571012349341e-07,0.999999546926222,2.934172603678872e-07,0.9999997065833232
2021-08-23,es1s,1,strong_upside,1.4278279830770729e-06,0.0014103910252511,0.0005718954469646,0.998016285700651,0.0014118188532341771,0.9985881811476156
2021-08-23,fesx1s,-1,positive,1.0951916512413033e-07,0.0001406575114172,0.9997816589531988,7.757401769291751e-05,0.0001407670305823241,0.9998592329708917
2021-08-23,gc1s,0,strong_upside,0.0004434239339147,0.0022284215460327,1.4747590161259512e-10,0.9973281543742812,0.0026718454799474,0.9973281545217572
2021-08-23,hg1s,1,weak,5.273861720836606e-05,0.9178916277350802,4.257484102988006e-22,0.0820556336480694,0.9179443663522885,0.0820556336480694
2021-08-23,ho1s,0,strong_upside,4.255073994779389e-07,1.6750908179775381e-18,1.7411414942609108e-05,0.9999821630762292,4.2550739947961403e-07,0.9999995744911718
2021-08-23,ng1s,0,weak,2.2849894418607395e-12,0.9999997401319316,2.5970046053480554e-07,1.6589830220409067e-10,0.9999997401342166,2.598663588370096e-07
2021-08-23,nq1s,1,strong_upside,1.413784115939382e-06,0.015547124195372,0.0020836192586108,0.9823678427628332,0.01554853797948794,0.984451462021444
2021-08-23,pl1s,1,positive,3.5425672691010914e-07,2.7914744891057723e-08,0.9476614444428048,0.0523381733861956,3.821714718011669e-07,0.9999996178290004
2021-08-23,rb1s,1,weak,3.5409819734143306e-24,0.9999072602082016,9.273979399269248e-05,2.846199168222463e-13,0.9999072602082016,9.27397942773124e-05
2021-08-23,si1s,1,downside,0.9324828486957968,0.0675124845017439,5.336715541671914e-16,4.666805272091588e-06,0.9999953331975406,4.66680527262526e-06
2021-08-24,cl1s,1,strong_upside,0.0001705975261844,0.0019164637670283,0.0009434552899609,0.9969694834200736,0.0020870612932127,0.9979129387100345
2021-08-24,es1s,1,strong_upside,9.60062425909876e-08,3.362811156819019e-05,5.0860817037107794e-05,0.9999154150659804,3.3724117810781175e-05,0.9999662758830175
2021-08-24,fesx1s,-1,positive,3.379681624334567e-08,6.0986289256307256e-05,0.9999055976182968,3.3382294967010154e-05,6.10200860725506e-05,0.9999389799132637
2021-08-24,gc1s,0,strong_upside,7.266526202251928e-05,0.0010887059476632,0.0111871793811853,0.9876514494073272,0.0011613712096857193,0.9988386287885125
2021-08-24,hg1s,1,weak,1.5504430847676444e-05,0.8361346739833471,5.558108120957325e-15,0.1638498215871045,0.8361501784141947,0.16384982158711006
2021-08-24,ho1s,0,positive,1.983343448420888e-70,4.0675960298770715e-73,1.0,1.3063710898708795e-61,1.987411044450765e-70,1.0
2021-08-24,ng1s,0,weak,7.635282362260646e-262,1.0,5.677320768141515e-209,9.323176739939247e-177,1.0,9.323176739939247e-177
2021-08-24,nq1s,1,strong_upside,2.10202261865475e-08,9.518493161225089e-05,7.891240300765904e-05,0.9998258816458406,9.520595183843744e-05,0.9999047940488482
2021-08-24,pl1s,-1,weak,0.0024759879641691,0.8803109011334643,0.117115412195831,9.7698706469333e-05,0.8827868890976335,0.11721311090230034
2021-08-24,rb1s,1,positive,3.7300619056105937e-63,2.3091271915513648e-45,1.0,1.7766697525171021e-50,2.3091271915513648e-45,1.0
2021-08-24,si1s,1,weak,0.4831846797195743,0.4916408896484331,5.406190581196009e-05,0.0251203687296971,0.9748255693680075,0.02517443063550906
2021-08-25,cl1s,1,weak,0.0022171612368033,0.9098180745230364,0.0035536063627558,0.0844111578750289,0.9120352357598397,0.0879647642377847
2021-08-25,es1s,0,strong_upside,6.245761896476156e-08,4.068093643398657e-05,2.919174327774053e-05,0.9999300648641464,4.0743394052951333e-05,0.9999592566074241
2021-08-25,fesx1s,-1,positive,1.1120321885337437e-07,0.0001995917741455,0.9997654591593076,3.4837864677328414e-05,0.00019970297736435338,0.9998002970239849
2021-08-25,gc1s,0,strong_upside,0.0001375703162381,0.001922878780345,8.561220412642637e-06,0.9979309896806656,0.0020604490965831,0.9979395509010782
2021-08-25,hg1s,1,strong_upside,4.615858751397066e-06,0.349282371667108,1.87627811553318e-15,0.6507130124720345,0.3492869875258594,0.6507130124720364
2021-08-25,ho1s,0,strong_upside,0.0004715073661234,0.0214322669856492,0.006402604110034,0.9716936215371368,0.021903774351772598,0.9780962256471708
2021-08-25,ng1s,0,positive,0.0166809757818463,0.0075555969683115,0.9756869848401534,7.644241162525463e-05,0.024236572750157802,0.9757634272517787
2021-08-25,nq1s,1,strong_upside,1.292077166213591e-08,7.336370769676611e-05,6.273029613766622e-05,0.9998638930748738,7.337662846842824e-05,0.9999266233710115
2021-08-25,pl1s,1,positive,0.0002761586540029,0.019762347842456,0.979961493501153,1.8472666779083612e-13,0.0200385064964589,0.9799614935013378
2021-08-25,rb1s,1,weak,9.085890561245634e-15,0.9927244305305662,0.0072592959042698,1.627356423971024e-05,0.9927244305305754,0.007275569468509511
2021-08-25,si1s,1,weak,6.294314346244276e-07,0.9999993705716568,2.6788815240590844e-33,9.577451985020519e-29,1.0000000000030913,9.577719873172925e-29
2021-08-26,cl1s,1,weak,0.0051038021130092,0.993580564423133,0.0011430150503275,0.0001726184165641,0.9986843665361422,0.0013156334668916001
2021-08-26,es1s,1,strong_upside,5.947271385423415e-07,0.000182729885807,0.0006673917118486,0.999149283676266,0.00018332461294554234,0.9998166753881146
2021-08-26,fesx1s,-1,positive,4.8559773644527794e-08,0.0001274322575115,0.9998458199678262,2.669921599666788e-05,0.00012748081728514453,0.9998725191838228
2021-08-26,gc1s,0,strong_upside,2.8137394312674934e-05,0.0013372771696877,0.0045259712791546,0.9941086141582658,0.001365414564000375,0.9986345854374203
2021-08-26,hg1s,1,strong_upside,2.728095310567086e-287,7.923574639572079e-149,0.0,1.0,7.923574639572079e-149,1.0
2021-08-26,ho1s,0,weak,0.2391409466565048,0.7530703752623357,0.0073719844600905,0.000416693619087,0.9922113219188404,0.0077886780791775
2021-08-26,ng1s,0,strong_upside,0.0541587455201882,0.0397964862197408,1.007953222111785e-07,0.9060446674635017,0.09395523173992901,0.9060447682588239
2021-08-26,nq1s,1,strong_upside,2.59702330016128e-08,0.0001952540249402,0.000193246886143,0.9996114731192084,0.00019527999517320163,0.9998047200053514
2021-08-26,pl1s,1,positive,3.601222939681776e-05,0.0003906276154771,0.9995733601534822,1.4709395840866454e-16,0.00042663984487391777,0.9995733601534823
2021-08-26,rb1s,1,weak,0.2737868069238527,0.7217307851888217,0.0044824077834921,1.0298413906782703e-10,0.9955175921126744,0.0044824078864762395
2021-08-26,si1s,1,weak,9.888001295078759e-130,1.0,0.0,0.0,1.0,0.0
2021-08-27,cl1s,1,weak,0.0002489401570117,0.9548947804313012,0.002308948824486,0.0425473305888572,0.9551437205883129,0.0448562794133432
2021-08-27,es1s,0,strong_upside,6.12927065171175e-07,0.0008266226517786,0.0002128219387636,0.998959942482832,0.0008272355788437712,0.9991727644215956
2021-08-27,fesx1s,1,positive,7.970903813581438e-08,0.0001231865055834,0.9998183697665706,5.836402003690329e-05,0.00012326621462153582,0.9998767337866075
2021-08-27,gc1s,0,strong_upside,0.0010087316159546,0.002852785320397,3.102520329284389e-12,0.996138483061946,0.0038615169363516,0.9961384830650485
2021-08-27,hg1s,-1,weak,0.0152983470818352,0.9687446864286744,0.000266243850338,0.0156907226373779,0.9840430335105096,0.015956966487715902
2021-08-27,ho1s,0,weak,0.0005714799919126,0.9545304938639751,0.0018698962485015,0.0430281298976309,0.9551019738558878,0.0448980261461324
2021-08-27,ng1s,0,downside,0.9083975229994316,0.017365360984477,0.0062171110394303,0.0680200049779898,0.9257628839839086,0.0742371160174201
2021-08-27,nq1s,1,strong_upside,4.0098322519674773e-08,0.000405073262959,0.0001625449963322,0.9994323416414684,0.0004051133612815197,0.9995948866378006
2021-08-27,pl1s,1,positive,5.326721054882944e-12,1.9548299632282608e-17,0.9999999978172128,2.17603329990059e-09,5.3267406031825765e-12,0.9999999999932462
2021-08-27,rb1s,1,strong_upside,0.0031742988182132,0.0051495690580329,0.0003146362645143,0.991361495862312,0.0083238678762461,0.9916761321268264
2021-08-27,si1s,-1,strong_upside,0.2835793455118385,0.2292666824202657,2.43893831779934e-08,0.4871539476754215,0.5128460279321042,0.48715397206480465
2021-08-30,cl1s,1,weak,0.0008693381213098,0.996215655415582,0.0011061985575546,0.0018088079022215,0.9970849935368918,0.0029150064597761
2021-08-30,es1s,-1,strong_upside,5.5117411534565145e-08,5.691587384301488e-05,3.6283562472399425e-05,0.9999067454456964,5.697099125454945e-05,0.9999430290081688
2021-08-30,fesx1s,1,positive,8.187872150458488e-08,0.0001470192685644,0.9998254314517058,2.746740133298878e-05,0.00014710114728590457,0.9998528988530387
2021-08-30,gc1s,0,strong_upside,0.0001948806282524,0.0028688920872331,0.0039386441829186,0.9929975831051928,0.0030637727154855,0.9969362272881114
2021-08-30,hg1s,-1,positive,0.0008766145421875,0.2649689529452397,0.7334028928640673,0.0007515396503895,0.2658455674874272,0.7341544325144569
2021-08-30,ho1s,0,weak,0.0027965543406102,0.945586227915348,0.005522793903918,0.0460944238412589,0.9483827822559582,0.0516172177451769
