date,instrument,primary_signal,hmm_predicted_regime,hmm_volatility_regime,hmm_return_regime,hmm_market_state,hmm_regime_confidence,daily_return,realized_vol_20d
2020-12-23,ho1s,0,2.0,normal_vol,positive,calm_positive,1.0,0.023855095061374065,0.01356741570697128
2020-12-23,ng1s,0,3.0,normal_vol,weak,calm_negative,1.0,-0.05856240702127535,0.03741570524842269
2020-12-23,nq1s,-1,3.0,low_vol,strong_upside,calm_positive,0.9997344570000152,-0.004622344610754281,0.007384812646599846
2020-12-23,pl1s,-1,3.0,normal_vol,strong_upside,calm_positive,0.7312689775359774,0.007974010627871175,0.017796449337700984
2020-12-23,rb1s,1,2.0,high_vol,positive,upside_breakout,1.0,0.030475476257761924,0.016913742380162286
2020-12-23,si1s,1,3.0,high_vol,strong_upside,upside_breakout,0.966897266343477,0.015116506059152934,0.023896278908379708
2020-12-24,cl1s,0,2.0,low_vol,weak,calm_negative,0.9883764941976056,0.0022859515936342056,0.014252918408522396
2020-12-24,es1s,1,3.0,low_vol,strong_upside,calm_positive,0.9905161410095292,0.0036669835677893836,0.005331651684413551
2020-12-24,fesx1s,0,,,,,,,
2020-12-24,gc1s,1,3.0,high_vol,strong_upside,upside_breakout,0.968618641779524,0.002715510357406359,0.009751633294936451
2020-12-24,hg1s,1,0.0,low_vol,positive,calm_positive,0.9980900404157754,0.0018278966581359857,0.010676234591259513
2020-12-24,ho1s,0,1.0,low_vol,weak,calm_negative,0.9979343966984868,-0.005073774666662367,0.013339844802493468
2020-12-24,ng1s,0,1.0,high_vol,downside,stress,0.9458897851021788,-0.02937014120260184,0.037307418263116274
2020-12-24,nq1s,-1,3.0,low_vol,strong_upside,calm_positive,0.9994172925553498,0.004209070250324798,0.007339924356811863
2020-12-24,pl1s,-1,3.0,normal_vol,strong_upside,calm_positive,0.974912415461414,0.010840902437693867,0.017768077572538274
2020-12-24,rb1s,1,0.0,low_vol,downside,calm_negative,0.9890346407572378,-0.0029065523037685725,0.016798916360074533
2020-12-24,si1s,1,1.0,low_vol,positive,calm_positive,0.7415802314331038,-0.000501524065854575,0.02391785635447596
2020-12-28,cl1s,0,2.0,low_vol,weak,calm_negative,0.9917594699765948,-0.012647729871172464,0.014592060645945292
2020-12-28,es1s,1,3.0,low_vol,strong_upside,calm_positive,0.8537157889501192,0.00879566982120572,0.0056015376992762595
2020-12-28,fesx1s,-1,3.0,low_vol,positive,calm_positive,0.9676217078810162,0.01020697476610688,0.009327465845930137
2020-12-28,gc1s,1,3.0,high_vol,strong_upside,upside_breakout,0.9804589943583522,-0.0014868309305932081,0.009162309376032305
2020-12-28,hg1s,1,0.0,low_vol,positive,calm_positive,0.994048596002979,0.0023859645521076,0.009243728075949954
2020-12-28,ho1s,0,1.0,low_vol,weak,calm_negative,0.9970953455674462,-0.007045556364893457,0.013472081482346758
2020-12-28,ng1s,0,1.0,high_vol,downside,stress,0.874638887561616,-0.07404525750750268,0.039606967714511276
2020-12-28,nq1s,-1,3.0,low_vol,strong_upside,calm_positive,0.9926565441661503,0.01009484828145224,0.0074127283039565235
2020-12-28,pl1s,-1,3.0,normal_vol,strong_upside,calm_positive,0.909205423541312,0.013623188400953001,0.01780362304060649
2020-12-28,rb1s,1,0.0,low_vol,downside,calm_negative,0.9988140412410224,-0.00838070309210881,0.016939979919903942
2020-12-28,si1s,-1,3.0,high_vol,strong_upside,upside_breakout,0.9698058562717822,0.02435541185295076,0.022343138711744225
2020-12-29,cl1s,0,2.0,low_vol,weak,calm_negative,0.9993460590553126,0.007979840593942411,0.014567497583694248
2020-12-29,es1s,-1,3.0,low_vol,strong_upside,calm_positive,0.9996251524261291,-0.002012072433954404,0.00553663266535251
2020-12-29,fesx1s,-1,3.0,low_vol,positive,calm_positive,0.998830447911565,0.0011226494533553844,0.009268658317592318
2020-12-29,gc1s,1,3.0,high_vol,strong_upside,upside_breakout,0.9213802509651308,0.001329504360591205,0.009037092674840446
2020-12-29,hg1s,1,0.0,low_vol,positive,calm_positive,0.9931716682200152,-0.004340519929441844,0.00931131979425267
